,normal_percentiles,playtime_percentiles
0.183,0.5781114217706003,0.6434323490765618
0.184,0.578371744312648,0.6434323490765618
0.185,0.5786558316589199,0.6434323490765618
0.186,0.5789476616932498,0.6434323490765618
0.187,0.5792482664165115,0.6434323490765618
0.188,0.5795117696644968,0.6434323490765618
0.189,0.5798207890569103,0.6434323490765618
0.19,0.5800653260232801,0.6434323490765618
0.191,0.5803320415608629,0.6434323490765618
0.192,0.580612997337017,0.6434323490765618
0.193,0.580922376076428,0.6434323490765618
0.194,0.5812281075993112,0.6434323490765618
0.195,0.5814549150492417,0.6434323490765618
0.196,0.5817027402128562,0.6434323490765618
0.197,0.5819785740548908,0.6434323490765618
0.198,0.5822383293225769,0.6434323490765618
0.199,0.5825114824122585,0.6434323490765618
0.2,0.5828332365311485,0.6434323490765618
0.201,0.5830942230666742,0.6434323490765618
0.202,0.5833717276368917,0.6434323490765618
0.203,0.5835790620673964,0.6434323490765618
0.204,0.583862020509073,0.6434323490765618
0.205,0.5841668435165476,0.6434323490765618
0.206,0.5844563189481713,0.6434323490765618
0.207,0.5846672397480391,0.6434323490765618
0.208,0.5848887324726294,0.6434323490765618
0.209,0.585147351959604,0.6434323490765618
0.21,0.5853992132512489,0.6434323490765618
0.211,0.5856518150275328,0.6434323490765618
0.212,0.5859002563032765,0.6434323490765618
0.213,0.5861686252752432,0.6434323490765618
0.214,0.5863877845442457,0.6434323490765618
0.215,0.5866228827914937,0.6434323490765618
0.216,0.5868450774478825,0.6434323490765618
0.217,0.5870753954305779,0.6434323490765618
0.218,0.5873091281774053,0.6434323490765618
0.219,0.5875541204482464,0.6434323490765618
0.22,0.5878022768869023,0.6434323490765618
0.221,0.5880289401322147,0.6434323490765618
0.222,0.5882851655601542,0.6434323490765618
0.223,0.5885488041610663,0.6434323490765618
0.224,0.5888057037604073,0.6434323490765618
0.225,0.5890566887114982,0.6434323490765618
0.226,0.5892765478680349,0.6434323490765618
0.227,0.5895749533096187,0.6434323490765618
0.228,0.5898054732734956,0.6434323490765618
0.229,0.5899872761778192,0.6434323490765618
0.23,0.590202795460212,0.6434323490765618
0.231,0.5904304720209406,0.6434323490765618
0.232,0.5906736299079581,0.6434323490765618
0.233,0.5909333904491855,0.6434323490765618
0.234,0.5911314739603615,0.6434323490765618
0.235,0.591366273191663,0.6434323490765618
0.236,0.5915480152710788,0.6434323490765618
0.237,0.5917712388468389,0.6434323490765618
0.238,0.5919840354907764,0.6434323490765618
0.239,0.5922399778964875,0.6434323490765618
0.24,0.5925081420373605,0.6434323490765618
0.241,0.5928197751366358,0.6434323490765618
0.242,0.5930577426448093,0.6434323490765618
0.243,0.5933028633651795,0.6434323490765618
0.244,0.593494863713821,0.6434323490765618
0.245,0.5937411302917879,0.6434323490765618
0.246,0.5939228583105246,0.6434323490765618
0.247,0.5941492280615117,0.6434323490765618
0.248,0.5943447299409329,0.6434323490765618
0.249,0.5945831899228394,0.6434323490765618
0.25,0.5947495002705419,0.6443641772839329
0.251,0.5949809245618302,0.6451693814565541
0.252,0.5951977057147468,0.6465267764546195
0.253,0.5953584683116003,0.6465267764546195
0.254,0.5956079351681615,0.6481128350810531
0.255,0.5958209890586095,0.6510801944784219
0.256,0.5960243861706733,0.6551312225215628
0.257,0.5962230979628865,0.6551312225215628
0.258,0.596422316342876,0.6551312225215628
0.259,0.5966121565904887,0.6552014523954284
0.26,0.5968023755089972,0.6552014523954284
0.261,0.5969547734930079,0.6552014523954284
0.262,0.5971835803768454,0.6552014523954284
0.263,0.5974159492470089,0.6552014523954284
0.264,0.5976277006274914,0.6552014523954284
0.265,0.5978389214608877,0.6552014523954284
0.266,0.5980372776918778,0.6552014523954284
0.267,0.5982470882897484,0.6552014523954284
0.268,0.5984650931925651,0.6552014523954284
0.269,0.5986769366469589,0.6578256442492205
0.27,0.5989762839365167,0.6589258046924243
0.271,0.5992205464493722,0.6604380880813264
0.272,0.5994261929758944,0.6618584902751773
0.273,0.5996685281552917,0.6618584902751773
0.274,0.5998293581287918,0.6620774826278627
0.275,0.6000914029283525,0.6633585991098708
0.276,0.6003073037952882,0.6649246452752023
0.277,0.6005101659423848,0.6654937760174398
0.278,0.6007524520619714,0.666100316101787
0.279,0.6009720727186946,0.6668227479808154
0.28,0.6011887861119672,0.6687492391792009
0.281,0.6014056798352715,0.6687492391792009
0.282,0.6016049703054032,0.6687492391792009
0.283,0.6017998637713585,0.6687492391792009
0.284,0.6020189033410454,0.6687492391792009
0.285,0.6022235312224792,0.6687492391792009
0.286,0.6024199737927386,0.6709150466983016
0.287,0.6026403033876552,0.6734770252722659
0.288,0.6028440604100571,0.6745226121866781
0.289,0.603024064198269,0.6745226121866781
0.29,0.6032588051083999,0.6745938728010068
0.291,0.6034588857788922,0.678601639024758
0.292,0.6035627351390631,0.6793981416711428
0.293,0.6037555338486931,0.6802959532609667
0.294,0.6040116906777668,0.6806482213078906
0.295,0.6041988011611533,0.6813510507709702
0.296,0.6043451157281982,0.6813510507709702
0.297,0.6045490404299628,0.6813510507709702
0.298,0.6047732826894862,0.6813510507709702
0.299,0.6049942168995179,0.6813510507709702
0.3,0.6052587950772264,0.6813510507709702
0.301,0.6054565513787612,0.6813510507709702
0.302,0.6056419949232433,0.6813510507709702
